# Binary Descriptors
# location_x location_y location_z summary occupy_array_length occupy_array
-37.621328 -18.898114 -0.340593 11 49 0000000001000001001001000100001001001000101001000
-6.980104 -17.233536 -0.967466 16 49 0000000000000000110111011011111111100000000000000
-9.490694 -14.248174 -1.005179 10 49 0000000000000000000000101101110111010000000000000
-39.891563 -13.502342 -0.451629 12 49 0000000000000010010100010010010010010010010010010
-8.567940 -11.813642 -1.092093 17 49 0000000000011011110111110110101110000000000000000
-5.628882 -9.259211 -1.220554 22 49 0000000000111111011111011111111111000000000000000
-0.329356 -9.724828 -1.307474 17 49 0000000000000000111111111111111110000000000000000
-1.985544 -7.247013 -1.346860 11 49 0000000000111111111110000000000000000000000000000
7.388885 -8.925310 -1.476227 20 49 0000000000011111111111111111111000000000000000000
17.441734 -8.510208 -1.678154 15 49 0000000000000000011111111111111100000000000000000
-25.931201 -6.386735 -0.918633 12 49 0000000000000001010101010010101010101010000000000
33.038285 -4.674347 -2.082512 13 49 0000000000011010010010001100111101100000000000000
40.063761 -4.117423 -2.231244 11 49 0000000000100000001010100110101001101000000000000
4.544308 -3.387243 -1.580463 21 49 0000000000111111111111111111111000000000000000000
15.547460 -2.926638 -1.801658 19 49 0000000000000111111111111111111100000000000000000
23.585461 -2.704135 -1.959992 18 49 0000000000001111111111110111010110000000000000000
42.938549 -3.857300 -2.293024 13 49 0000000000010100110010101010101001010100000000000
49.508502 -3.477899 -2.428077 11 49 0000000000010101000001001010010100101001000000000
53.589482 -3.173821 -2.513918 11 49 0000000001000010001010010100010100010100100000000
36.984930 -1.415402 -2.250127 14 49 0000000000000101101010101011011001101000000000000
39.991655 -0.327380 -2.338025 11 49 0000000010011110110101010100000000000000000000000
-15.849752 1.637402 -1.338216 17 49 0000000000001101110111011011101100000010100000000
-11.875667 5.504840 -1.523713 17 49 0000000000001111101010010010010111110110000000000
4.093317 5.547965 -1.826891 24 49 0000000000111111111111111111111111000000000000000
6.506881 5.607919 -1.874239 15 49 0000000001111111111111110000000000000000000000000
3.626581 8.011281 -1.888354 13 49 0000000000111111111111100000000000000000000000000
28.960794 7.616580 -2.356121 12 49 0000000001011101111110110000000000000000000000000
-24.520136 9.217477 -1.390562 14 49 0000000000000010101010101011001010110010000000100
11.554441 8.857418 -2.062401 19 49 0000000000000111001101111111111111100000000000000
18.008486 9.174806 -2.193493 23 49 0000000000000111111111111111111111110000000000000
-0.953594 12.066688 -1.917467 15 49 0000000000000000000001111111111111110000000000000
3.014369 11.368293 -1.972567 24 49 0000000000011011111011111111111111111000000000000
6.554156 11.742355 -2.050172 25 49 0000000000001111111111111111111111111000000000000
23.576795 12.754945 -2.400936 24 49 0000000000011111111111011110111101111010000000000
-20.969442 14.712580 -1.614497 10 49 0000000000101110111111000000000000000000000000000
0.155693 14.307839 -2.002390 19 49 0000000000000000000001111111111111111111000000000
5.864824 14.024506 -2.102256 19 49 0000000000000111111110011111100111100100000000000
34.023200 13.627789 -2.623366 14 49 0000000000000000000010101010111101110110100000000
38.505448 13.795155 -2.712894 10 49 0000000000000000000000100101010101010101010000000
-22.416620 17.102812 -1.655335 10 49 0000000000010101010101010101010000000000000000000
15.556738 16.164812 -2.346586 29 49 0000001111111111111011111110101111111100000000000
-24.997915 32.635826 -2.049744 10 49 0000000000000010010010010010100100100100100000000
