# Binary Descriptors
# location_x location_y location_z summary occupy_array_length occupy_array
24.711877 -24.963419 -1.239453 17 49 0101101101010110011101101000001000100000000000000
23.845858 -14.856187 -1.405225 23 49 0000000000011111111111111111111111000000000000000
-39.871847 -13.604628 -0.743607 10 49 0000000000000010010001000100100100010010001001000
-9.775250 -12.323781 -1.088541 11 49 0000000000000000000101101010100100011110000000000
-0.299998 -9.735099 -1.234988 14 49 0000000000000000001111111011101001110000000000000
22.686189 -11.887147 -1.444213 29 49 0000111111111111111111111111111110000000000000000
-6.359951 -8.518271 -1.191078 16 49 0000000000001101101101101101101111000000000000000
7.320641 -8.971569 -1.329934 16 49 0000000000000000001111111111111111000000000000000
-25.884958 -6.420516 -1.018029 11 49 0000000000000100101001011010010100101000000000000
9.743699 -5.925268 -1.408681 11 49 0000000000011111111111000000000000000000000000000
28.540967 -4.813309 -1.629518 11 49 0000000000011111110010110001000000000000000000000
4.562497 -3.452548 -1.395946 24 49 0000000000111111111111111111111111000000000000000
8.258666 -2.319384 -1.455210 14 49 0000000001111110111111110000000000000000000000000
13.154704 -4.033163 -1.478031 17 49 0000000000000001111111111111111100000000000000000
16.108237 -2.946959 -1.528517 20 49 0000000000011111111111111111111000000000000000000
23.685129 -2.464626 -1.618124 18 49 0000000000000011111111111111111100000000000000000
39.325366 -4.096860 -1.757577 19 49 0000000000011101101101110110110110111000000000000
44.748742 -3.817187 -1.820580 16 49 0000000000001111010111101010000110011010000000000
11.194785 -2.082906 -1.490792 10 49 0000000001111111111000000000000000000000000000000
37.072403 -1.505088 -1.778306 19 49 0000000000000011011110111111110111101000000000000
40.116923 -0.116781 -1.835001 12 49 0000000000001011111101101101000000000000000000000
-15.785328 1.943068 -1.271193 14 49 0000000000001010110111010000010101100010100000000
-11.853248 5.498321 -1.374937 17 49 0000000001010110100101010010101101101011000000000
4.172096 5.564393 -1.547934 26 49 0000000001111111111111111111111111100000000000000
26.642422 7.509787 -1.822596 15 49 0000000001111111111111110000000000000000000000000
-24.647133 9.075293 -1.299692 13 49 0000000000001001010010100101001000000100101011000
11.687427 8.951496 -1.687192 22 49 0000000000001111111111111111111111000000000000000
18.561821 9.158102 -1.764490 22 49 0000000000001111111111111111111111000000000000000
28.845849 7.883911 -1.852705 11 49 0000000001111111111100000000000000000000000000000
32.868528 11.481269 -1.958150 13 49 0000000000000000000000101111101111011100000000000
36.231550 11.645795 -1.997064 12 49 0000000000000000000001011101101111011000000000000
55.674653 11.616328 -2.205057 12 49 0000000000010000100100001010010100101001010100000
-3.376679 13.113777 -1.597739 17 49 0000000000000000000110110111111101101111000000000
0.300754 12.994784 -1.635114 13 49 0000000000000000001001111101111101100000000000000
4.737526 13.036661 -1.683418 21 49 0000000000001111111100111111111110011000000000000
19.797934 12.965896 -1.843697 20 49 0000000000000011111111111111111100110000000000000
34.175771 13.628921 -2.009366 14 49 0000000000000000000000111111101110111010000000000
43.798039 14.197516 -2.122401 13 49 0000000000000000000010101010101101010101110000000
23.243065 15.469933 -1.924012 31 49 0000001111111111111111111111111111111000000000000
54.979310 16.483941 -2.281908 10 49 0000000000000000000001001001010000101100101010000
19.228444 19.050585 -1.942978 12 49 0000000000000000011110110000101111100000000000000
11.803471 23.072903 -1.933021 12 49 0101111011011101001000000000000000000000000000000
10.673122 32.908213 -2.091248 16 49 0000000001101010101010101010101010101010000000000
