# Binary Descriptors
# location_x location_y location_z summary occupy_array_length occupy_array
18.262975 -17.189270 -1.073756 23 49 0000000001011111111111111101111011100000000000000
17.973762 -13.157323 -1.160834 30 49 0001111111111111111111111111111011000000000000000
4.582961 -9.405685 -1.041901 14 49 0000000000000000000101101101101110110110000000000
10.151692 -9.006570 -1.135817 17 49 0000000000000000001111111101111110111000000000000
23.273608 -5.059673 -1.425334 22 49 0000000000111111111111111111111100000000000000000
39.326327 -4.520708 -1.682186 17 49 0000000000000110101110111111111110000000000000000
16.018377 -3.101730 -1.359199 22 49 0000000000001111111111111111111111000000000000000
23.733114 -2.270987 -1.495612 20 49 0000000000011111111111111111111000000000000000000
37.075534 -1.332322 -1.720231 19 49 0000000000000111111111111111111100000000000000000
40.070101 -0.225999 -1.790967 20 49 0000000011011111111111111111100000000000000000000
43.540857 0.198706 -1.853494 12 49 0000000011111110100111100000000000000000000000000
52.618866 -0.347214 -1.979444 12 49 0000000000000100001010110110101011010000000000000
-15.743237 1.774725 -0.985841 13 49 0000000000100001010010100100001010010101000001100
-11.888672 5.404538 -1.126940 14 49 0000000010101010010000010010101010011001010000000
4.165243 5.736531 -1.379114 24 49 0000000001010011111011101111111001111011100000000
25.664176 7.199405 -1.739923 15 49 0000000001111111111111110000000000000000000000000
28.998322 7.778582 -1.803873 17 49 0000000000111111111111111110000000000000000000000
33.588812 7.874624 -1.876005 10 49 0000000000101111111110000000000000000000000000000
-24.505976 9.260086 -1.022152 11 49 0000000000000101001000100101000100100001000101000
11.690278 8.923334 -1.566095 27 49 0000000000001111111111111111111111111110000000000
18.546910 9.273148 -1.678519 23 49 0000000000000111111111111111111111110000000000000
31.965681 9.883330 -1.896849 14 49 0000000000000000000001111111111111100000000000000
-3.487447 12.902352 -1.425091 10 49 0000000000000000000000010000000101011001101010100
2.749168 11.373740 -1.485444 23 49 0000000000101101110110110110110110110110110100000
16.616173 12.355142 -1.719028 26 49 0000000000011111111111011111111111111100000000000
19.589149 12.832812 -1.775170 23 49 0000000000000111111111111110111111111000000000000
23.649569 12.809608 -1.836519 25 49 0000000000011011111111111111111111111000000000000
26.603486 12.979859 -1.885396 24 49 0000000000011111111111111111111011110000000000000
36.250498 11.627243 -2.001713 13 49 0000000000000000000110111001110111110000000000000
55.605601 11.746901 -2.299375 14 49 0000000000000101010110010101101010101010000000000
12.825547 14.788089 -1.716467 25 49 0000000111011111111111101110111011010010000000000
35.189363 13.660949 -2.031688 21 49 0000000000000001111111111111011111111000000000000
40.689439 14.164720 -2.126933 16 49 0000000000000000000111111101111011111000000000000
43.725947 14.328955 -2.176932 16 49 0000000000000000001111111011011101110100000000000
54.955295 16.723131 -2.402377 12 49 0000000000000000000001010100110111001101100000000
69.589621 15.963437 -2.608147 10 49 0000000000000010000010100100100101000101001000000
20.161550 19.212641 -1.928652 26 49 0000111110111101011100100111110111001110100000000
18.100283 36.304788 -2.285064 12 49 0000101010101010101111010000000000000000000000000
17.989145 42.360786 -2.420782 11 49 0000000000000000000001001001010010100101001010010
