# Planes
# center_x center_y center_z normal_x normal_y normal_z
4.514228 3.864887 -1.909730 0.058023 0.009084 0.998274
9.801234 3.850613 -1.836692 0.079496 0.038453 -0.996093
6.976524 -1.119428 -0.530203 0.712071 -0.576072 0.401368
6.194541 1.378616 -0.531625 -0.201973 0.178215 0.963040
11.593967 1.778549 -1.677895 0.147088 0.326282 0.933759
2.321451 1.767053 -1.783565 -0.015973 0.044083 0.998900
2.846519 2.964066 -1.850438 -0.001728 0.057066 0.998369
11.124906 3.126603 -1.758202 -0.025829 0.046916 0.998565
9.023351 4.960381 -1.861429 -0.020969 0.002062 0.999778
2.382409 -1.043877 -1.735627 -0.009926 -0.024361 0.999654
11.637897 -1.427417 -1.672068 -0.068005 -0.005117 -0.997672
12.901442 0.986725 -1.646831 -0.014189 0.016051 0.999770
0.947914 0.870063 -1.733255 0.001224 0.036401 0.999337
3.099433 4.889378 -1.866385 -0.023423 -0.059609 0.997947
1.251467 3.108383 -1.855615 0.003178 0.059926 0.998198
12.864390 2.921459 -1.717637 -0.017010 0.045344 0.998827
12.898718 -1.020005 -1.648245 -0.022948 -0.001234 0.999736
3.178237 -2.952339 -1.658034 -0.015709 0.108106 0.994015
8.960650 6.889015 -1.872877 -0.008393 0.005567 0.999949
1.202831 -0.944307 -1.731023 -0.001662 -0.024658 0.999695
5.119774 -4.837861 -1.503874 -0.010389 0.067637 0.997656
1.122834 4.906885 -1.918627 -0.026748 -0.011915 0.999571
-0.931316 0.979683 -1.743531 -0.015166 0.030574 0.999417
12.835530 4.946477 -1.750564 -0.046796 0.078469 -0.995818
14.965816 0.995576 -1.630675 -0.000658 0.016606 0.999862
3.086203 -4.933561 -1.530583 0.018739 -0.051597 -0.998492
0.883052 -3.182945 -1.674856 -0.026486 0.083902 0.996122
-1.092840 3.066833 -1.842829 0.008243 0.048511 0.998789
-0.940573 4.904191 -1.940939 0.005619 0.046462 0.998904
1.059155 6.963749 -1.927431 -0.031448 0.008841 0.999466
10.973003 5.005690 -1.751400 -0.094159 -0.122956 0.987935
14.945940 2.961305 -1.695047 -0.003911 0.039702 0.999204
-0.861909 -0.965878 -1.745809 0.007405 -0.021199 0.999748
8.998876 9.006961 -1.874542 -0.006167 -0.047851 0.998835
14.883539 4.958620 -1.769334 -0.019391 0.008378 0.999777
-0.649499 6.898117 -1.969794 -0.017439 0.002898 0.999844
14.975987 -1.079147 -1.609307 -0.007755 0.040228 0.999160
1.099306 -4.914707 -1.563939 -0.010223 0.059618 0.998169
