# Binary Descriptors
# location_x location_y location_z summary occupy_array_length occupy_array
17.090201 -5.596911 -0.902532 11 49 0000000000111111111110000000000000000000000000000
4.618887 -3.673302 -0.665949 11 49 0000000000000000000000110010101101010101010000000
13.224563 -4.135027 -0.854993 13 49 0000000000000101110111011011011000000000000000000
16.073310 -3.154841 -0.951334 22 49 0000000000000111111111011111111110111000000000000
60.167772 -2.863133 -1.999163 17 49 0000000000111111010110110010110110100000000000000
24.102717 -2.374382 -1.163812 21 49 0000000000000111111111111111111111000000000000000
37.449549 -1.304732 -1.510218 17 49 0000000000000111111111111111110000000000000000000
52.510304 -0.657958 -1.884414 20 49 0000000000000011111111111111111111000000000000000
74.555974 -1.860758 -2.368105 10 49 0000000000000010100001001010101001010010000000000
-15.804573 1.799925 -0.347733 10 49 0000000000100100100100000000010010100010000010100
4.125672 5.745006 -0.934964 15 49 0000000000000000000101010110101010101110110100000
11.638278 8.885370 -1.205581 21 49 0000000000000110110110111011011011101101101000000
18.523650 9.295722 -1.380070 26 49 0000000000000011111111111111111111111111000000000
25.956694 7.680953 -1.507123 10 49 0000000000111111101011000000000000000000000000000
4.648630 11.764457 -1.126651 19 49 0000000000000110110101010101010101011000101110100
13.000587 12.384668 -1.341955 20 49 0000000000000110111010011011011001010101111100000
16.545306 12.336515 -1.424055 17 49 0000000000000000000110101101111011110110011000000
36.211939 11.649914 -1.867064 25 49 0000000000011111111111111111011111111000000000000
43.181971 10.968457 -2.011015 13 49 0000000000000000000000001111111111111000000000000
55.589342 11.721610 -2.325851 21 49 0000000000000101111111011011101110110111000000000
63.498071 12.199760 -2.526477 11 49 0000000000000000000000010101010110101011010000000
29.550114 13.224306 -1.756982 26 49 0000000000011011111111111111111111110011000000000
40.606230 14.151960 -2.045174 16 49 0000000000000000000000011111111111111110000000000
43.665426 14.313376 -2.122077 17 49 0000000000000000000000011111111111111111000000000
47.957296 14.436104 -2.226877 27 49 0000000000011111111111111110111111111110000000000
55.136878 14.937988 -2.411027 23 49 0000000000011011111101101101101101110110110000000
12.634057 17.280506 -1.479199 14 49 0000000000000000000010110101100000010110010111100
63.034350 15.454500 -2.612530 16 49 0000000000010101010100110010101001101100110000000
41.686155 17.913736 -2.182714 18 49 0000000000000000000001111111111111100011110000000
47.528654 17.641529 -2.312288 13 49 0000000000000000000000110111111011110100000000000
54.926889 17.729416 -2.489255 20 49 0000000000001001011011011011110100110110110100000
